Loan Term,Loan Amount,Loan Provider,Loan Product,Average APR,Source,Date Extracted
12, 1000, AA, Member Loan, 14.3, Moneyfacts, 2020-07-02 07:19:04
12, 1000, AA, Non-Member Loan, 14.4, Moneyfacts, 2020-07-02 07:19:04
12, 1000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 07:19:04
12, 1000, cahoot, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Santander, 123 and Select Customers Personal Loan, 13.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Santander, Existing Customer Personal Loan , 13.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Santander, Personal Loan , 13.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Tesco Bank, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Post Office Money®, Personal Loan, 14.4, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Bank of Ireland UK, Online Personal Loan, 14.5, Moneyfacts, 2020-07-02 07:19:04
12, 1000, MBNA Limited, Personal Loan, 14.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Zopa, Personal Loan, 17.0, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Clydesdale Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, first direct, Personal Loan, 18.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Yorkshire Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Madiston LendLoanInvest, Unsecured Personal Loan, 19.2, Moneyfacts, 2020-07-02 07:19:04
12, 1000, M\u0026S Bank, Existing Customer Personal Loan, 19.8, Moneyfacts, 2020-07-02 07:19:04
12, 1000, M\u0026S Bank, Personal Loan, 19.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, John Lewis Financial Services, Personal Loan, 20.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, HSBC, Existing Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, HSBC, Personal Loan, 21.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, HSBC, Premier Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 24.9, Moneyfacts, 2020-07-02 07:19:04
12, 1000, Lloyds Bank, Existing Customer Personal Loan, 26.7, Moneyfacts, 2020-07-02 07:19:04
