Loan Term,Loan Amount,Loan Provider,Loan Product,Average APR,Source,Date Extracted
12, 1000, AA, Member Loan, 14.3, Moneyfacts, 2020-07-02 22:42:50
12, 1000, AA, Non-Member Loan, 14.4, Moneyfacts, 2020-07-02 22:42:50
12, 1000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 22:42:50
12, 1000, CAHOOT, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, SANTANDER, 123 and Select Customers Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, SANTANDER, Existing Customer Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, SANTANDER, Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Tesco Bank, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Post Office Money®, Personal Loan, 14.4, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Bank Of Ireland Uk, Online Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Mbna Limited, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, ZOPA, Personal Loan, 17.0, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Clydesdale Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, First Direct, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Yorkshire Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Madiston Lendloaninvest, Unsecured Personal Loan, 19.2, Moneyfacts, 2020-07-02 22:42:50
12, 1000, M\u0026s Bank, Existing Customer Personal Loan, 19.8, Moneyfacts, 2020-07-02 22:42:50
12, 1000, M\u0026s Bank, Personal Loan, 19.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, John Lewis Financial Services, Personal Loan, 20.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, HSBC, Existing Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, HSBC, Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, HSBC, Premier Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 24.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Lloyds Bank, Existing Customer Personal Loan, 26.7, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Lending Works, Personal Loan, 27.3, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Bank Of Scotland, Existing Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, TSB, Existing Current Account Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, TSB, Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, HALIFAX, Existing Customer Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, HALIFAX, Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, 118 118 Money, Personal Loan (Fair), 35.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, TRUSTTWO, Trusttwo (Homeowner Guarantor) Personal Loan, 49.5, Moneyfacts, 2020-07-02 22:42:50
12, 1000, BAMBOO, Guarantor Loan, 49.7, Moneyfacts, 2020-07-02 22:42:50
12, 1000, BAMBOO, Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:42:50
12, 1000, TRUSTTWO, Trusttwo (Tenant/LWP Guarantor) Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:42:50
12, 1000, AMIGO, Guarantor Personal Loan, 49.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Likely Loans, Personal Loan, 59.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, Tfs Loans, Guarantor Loan, 69.9, Moneyfacts, 2020-07-02 22:42:50
12, 1000, 118 118 Money, Personal Loan (Poor), 99.9, Moneyfacts, 2020-07-02 22:42:50
12, 2000, AA, Member Loan, 14.3, Moneyfacts, 2020-07-02 22:42:52
12, 2000, AA, Non-Member Loan, 14.4, Moneyfacts, 2020-07-02 22:42:52
12, 2000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Madiston Lendloaninvest, Unsecured Personal Loan, 12.1, Moneyfacts, 2020-07-02 22:42:52
12, 2000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 22:42:52
12, 2000, CAHOOT, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, SANTANDER, 123 and Select Customers Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, SANTANDER, Existing Customer Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, SANTANDER, Personal Loan , 13.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Tesco Bank, Online Personal Loan, 13.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Post Office Money®, Personal Loan, 14.4, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Bank Of Ireland Uk, Online Personal Loan, 14.5, Moneyfacts, 2020-07-02 22:42:52
12, 2000, ZOPA, Personal Loan, 14.8, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Mbna Limited, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Clydesdale Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, First Direct, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Yorkshire Bank, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, M\u0026s Bank, Existing Customer Personal Loan, 19.8, Moneyfacts, 2020-07-02 22:42:52
12, 2000, M\u0026s Bank, Personal Loan, 19.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, John Lewis Financial Services, Personal Loan, 20.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, HSBC, Existing Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, HSBC, Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, HSBC, Premier Customer Personal Loan, 21.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 24.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Lloyds Bank, Existing Customer Personal Loan, 26.7, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Lending Works, Personal Loan, 27.4, Moneyfacts, 2020-07-02 22:42:52
12, 2000, Bank Of Scotland, Existing Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, TSB, Existing Current Account Customer Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, TSB, Personal Loan, 27.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, HALIFAX, Existing Customer Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:42:52
12, 2000, HALIFAX, Personal Loan, 28.9, Moneyfacts, 2020-07-02 22:42:53
12, 2000, 118 118 Money, Personal Loan (Fair), 35.9, Moneyfacts, 2020-07-02 22:42:53
12, 2000, TRUSTTWO, Trusttwo (Homeowner Guarantor) Personal Loan, 49.5, Moneyfacts, 2020-07-02 22:42:53
12, 2000, BAMBOO, Guarantor Loan, 49.7, Moneyfacts, 2020-07-02 22:42:53
12, 2000, BAMBOO, Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:42:53
12, 2000, TRUSTTWO, Trusttwo (Tenant/LWP Guarantor) Personal Loan, 49.7, Moneyfacts, 2020-07-02 22:42:53
12, 2000, AMIGO, Guarantor Personal Loan, 49.9, Moneyfacts, 2020-07-02 22:42:53
12, 2000, Likely Loans, Personal Loan, 59.9, Moneyfacts, 2020-07-02 22:42:53
12, 2000, 118 118 Money, Personal Loan (Poor), 99.9, Moneyfacts, 2020-07-02 22:42:53
12, 3000, AA, Member Loan, 8.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, AA, Non-Member Loan, 8.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, 1plus1 Loans, Guarantor Loan, 47.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Danske Bank, Home Owners Personal Loan, 5.0, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Metro Bank, Personal Loan, 7.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Tesco Bank, Online Personal Loan, 8.5, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Tesco Bank, Telephone Personal Loan, 8.5, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Mbna Limited, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Post Office Money®, Personal Loan, 8.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Bank Of Ireland Uk, Online Personal Loan, 9.5, Moneyfacts, 2020-07-02 22:42:55
12, 3000, CAHOOT, Online Personal Loan, 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Madiston Lendloaninvest, Unsecured Personal Loan, 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, SANTANDER, 123 and Select Customers Personal Loan, 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, SANTANDER, Existing Customer Personal Loan , 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, SANTANDER, Personal Loan , 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, ZOPA, Personal Loan, 9.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Starling Bank, Personal Loan, 11.5, Moneyfacts, 2020-07-02 22:42:55
12, 3000, AIB, Personal Loan, 12.3, Moneyfacts, 2020-07-02 22:42:55
12, 3000, RATESETTER, Personal Loan, 12.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Sainsbury\u0027s Bank, Standard Nectar Cardholder Loan, 13.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Clydesdale Bank, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Yorkshire Bank, Personal Loan, 14.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, M\u0026s Bank, Existing Customer Personal Loan, 15.8, Moneyfacts, 2020-07-02 22:42:55
12, 3000, M\u0026s Bank, Personal Loan, 15.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, First Direct, Personal Loan, 16.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, John Lewis Financial Services, Personal Loan, 16.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Danske Bank, Existing Choice - Prestige or Freedom C/Acc Customers, 17.4, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Danske Bank, Personal Loan, 17.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, HSBC, Existing Customer Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, HSBC, Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, HSBC, Premier Customer Personal Loan, 18.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, HALIFAX, Existing Customer Personal Loan, 19.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, HALIFAX, Personal Loan, 19.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, TSB, Existing Current Account Customer Personal Loan, 21.7, Moneyfacts, 2020-07-02 22:42:55
12, 3000, TSB, Personal Loan, 21.7, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Bank Of Scotland, Existing Customer Personal Loan, 23.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, Lloyds Bank, Existing Customer Personal Loan, 24.9, Moneyfacts, 2020-07-02 22:42:55
12, 3000, My Community Bank, Personal Loan, 25.9, Moneyfacts, 2020-07-02 22:42:55
